"","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","tenure","good_country","adopter"
"age",1,0.18,-0.04,0.68,0.08,-0.05,0.06,0.01,0.05,0,0.11,-0.02,0.27,0.1,0.08
"male",0.18,1,-0.01,0.04,0.05,-0.04,0,0.11,0.02,0.01,0,-0.02,0.1,0.01,0.06
"friend_cnt",-0.04,-0.01,1,-0.05,-0.02,0.74,0.76,0.24,0.17,0.07,0.01,0.21,0.04,-0.03,0.09
"avg_friend_age",0.68,0.04,-0.05,1,0.18,-0.04,0.06,-0.02,0.04,0,0.02,-0.02,0.28,0.11,0.06
"avg_friend_male",0.08,0.05,-0.02,0.18,1,-0.03,0,0.01,0,0,0,-0.01,0.07,0.02,0.02
"friend_country_cnt",-0.05,-0.04,0.74,-0.04,-0.03,1,0.54,0.36,0.26,0.11,0.02,0.23,0.09,-0.06,0.14
"subscriber_friend_cnt",0.06,0,0.76,0.06,0,0.54,1,0.16,0.17,0.08,0.02,0.15,0.04,0.01,0.12
"songsListened",0.01,0.11,0.24,-0.02,0.01,0.36,0.16,1,0.26,0.09,0.01,0.14,0.24,0.02,0.14
"lovedTracks",0.05,0.02,0.17,0.04,0,0.26,0.17,0.26,1,0.05,0.03,0.1,0.02,0.02,0.14
"posts",0,0.01,0.07,0,0,0.11,0.08,0.09,0.05,1,0,0.11,0.03,-0.01,0.04
"playlists",0.11,0,0.01,0.02,0,0.02,0.02,0.01,0.03,0,1,0,0.02,0,0.03
"shouts",-0.02,-0.02,0.21,-0.02,-0.01,0.23,0.15,0.14,0.1,0.11,0,1,0.03,-0.02,0.05
"tenure",0.27,0.1,0.04,0.28,0.07,0.09,0.04,0.24,0.02,0.03,0.02,0.03,1,0.1,0.03
"good_country",0.1,0.01,-0.03,0.11,0.02,-0.06,0.01,0.02,0.02,-0.01,0,-0.02,0.1,1,-0.03
"adopter",0.08,0.06,0.09,0.06,0.02,0.14,0.12,0.14,0.14,0.04,0.03,0.05,0.03,-0.03,1
